source_date,code,name,market,market_slug,sector,industry
20260131,6195,ホープ,グロース,growth,サービス業,情報通信・サービスその他
20260131,6196,ストライク,プライム,prime,サービス業,情報通信・サービスその他
20260131,6197,ソラスト,プライム,prime,サービス業,情報通信・サービスその他
20260131,6198,キャリア,グロース,growth,サービス業,情報通信・サービスその他
20260131,6199,セラク,スタンダード,standard,サービス業,情報通信・サービスその他
20260131,6200,インソース,プライム,prime,サービス業,情報通信・サービスその他
20260131,6201,豊田自動織機,プライム,prime,輸送用機器,自動車・輸送機
20260131,6203,豊和工業,スタンダード,standard,機械,機械
20260131,6208,石川製作所,スタンダード,standard,機械,機械
20260131,6209,リケンＮＰＲ,プライム,prime,機械,機械
20260131,6210,ＴＯＹＯイノベックス,スタンダード,standard,機械,機械
20260131,6217,津田駒工業,スタンダード,standard,機械,機械
20260131,6218,エンシュウ,スタンダード,standard,機械,機械
20260131,6222,島精機製作所,プライム,prime,機械,機械
20260131,6223,西部技研,スタンダード,standard,機械,機械
20260131,6224,ＪＲＣ,グロース,growth,機械,機械
20260131,6226,守谷輸送機工業,スタンダード,standard,機械,機械
20260131,6227,ＡＩメカテック,スタンダード,standard,機械,機械
20260131,6228,ジェイ・イー・ティ,スタンダード,standard,機械,機械
20260131,6229,オーケーエム,スタンダード,standard,機械,機械
20260131,6230,ＳＡＮＥＩ,スタンダード,standard,機械,機械
20260131,6231,木村工機,スタンダード,standard,機械,機械
20260131,6232,ＡＣＳＬ,グロース,growth,機械,機械
20260131,6233,ＫＬＡＳＳ,スタンダード,standard,機械,機械
20260131,6235,オプトラン,プライム,prime,機械,機械
20260131,6237,イワキポンプ,プライム,prime,機械,機械
20260131,6238,フリュー,プライム,prime,機械,機械
20260131,6239,ナガオカ,スタンダード,standard,機械,機械
20260131,6240,ヤマシンフィルタ,プライム,prime,機械,機械
20260131,6245,ヒラノテクシード,スタンダード,standard,機械,機械
20260131,6246,テクノスマート,スタンダード,standard,機械,機械
20260131,6247,日阪製作所,プライム,prime,機械,機械
20260131,6248,横田製作所,スタンダード,standard,機械,機械
20260131,6249,ゲームカードホールディングス,スタンダード,standard,機械,機械
20260131,6250,やまびこ,プライム,prime,機械,機械
20260131,6254,野村マイクロ・サイエンス,プライム,prime,機械,機械
20260131,6255,エヌ・ピー・シー,グロース,growth,機械,機械
20260131,6257,藤商事,スタンダード,standard,機械,機械
20260131,6258,平田機工,プライム,prime,機械,機械
20260131,6262,ＰＥＧＡＳＵＳ,スタンダード,standard,機械,機械
20260131,6264,マルマエ,プライム,prime,機械,機械
20260131,6265,コンバム,スタンダード,standard,機械,機械
20260131,6266,タツモ,プライム,prime,機械,機械
20260131,6267,ゼネラルパッカー,スタンダード,standard,機械,機械
20260131,6268,ナブテスコ,プライム,prime,機械,機械
20260131,6269,三井海洋開発,プライム,prime,機械,機械
20260131,6272,レオン自動機,プライム,prime,機械,機械
20260131,6273,ＳＭＣ,プライム,prime,機械,機械
